id_de_compañia,niu,id_contrato,nombre_de_la_compañia,operador_de_red,ciudad,direccion,medidor,ip,apn
Frt50484,7577242,28074.0,NUESTRO BOGOTA AK 86 55ª 75 SE 6 ,ENEL CUNDINAMARCA,Bogotá D.C.,AK 86 55ª 75 SE 6 NUESTRO BOGOTA,23113082.0,10.87.209.86,BIA.CLARO.COM.CO
Frt50483,7577240,28075.0,NUESTRO BOGOTÁ AK 86 55ª 75 SE 5,ENEL CUNDINAMARCA,Bogotá D.C.,AK 86 55ª 75 SE 5 NUESTRO BOGOTA,23083107.0,10.87.215.195,BIA.CLARO.COM.CO
Frt68974,845636046,26829.0,TelefónicaC 18A # 23-14 B LA LIBERTAD,ELECTROHUILA HUILA,NEIVA,C 18A # 23-14 B LA LIBERTAD,23086574.0,10.196.6.166,BIA.TIGO.COM
Frt67712,562802945,26841.0,TelefónicaCRA 7 NO 25 L BIS,ELECTROHUILA HUILA,NEIVA,CRA 7 NO 25 L BIS,23086551.0,10.87.220.179,BIA.CLARO.COM.CO
Frt67501,910047043,26824.0,TelefónicaC 21S K 28 PARROQUIA SAGRADO C,ELECTROHUILA HUILA,NEIVA,C 21S K 28 PARROQUIA SAGRADO C,23086567.0,10.205.64.117,BIAENERGY.WOM.CO
Frt68297,0767110,27257.0,CONCREMOVIL S.A.S. KR 1 NO 48 39 IN 2,ENEL CUNDINAMARCA,SOACHA,KR 1 NO 48 39 IN 2,23101386.0,10.196.0.179,BIA.TIGO.COM
Frt68406,17402549,26299.0,INVERSIONES Y TORTAS DEL CARIBE S.A.S. CL 4 # CR 8 - 4 DPL DL6156 El Centro Fundación,AIRE CARIBE_SOL,FUNDACIÓN,CL 4 # CR 8 - 4 DPL DL6156 El Centro Fundación,23121198.0,10.196.57.25,BIA.TIGO.COM
Frt68931,0673247,28610.0,Wok CL 140 NO 11 - 85,ENEL CUNDINAMARCA,Bogotá D.C.,CL 140 NO 11 - 85,23123501.0,10.205.64.219,BIAENERGY.WOM.CO
Frt68491,2708191,28609.0,Wok CL 140 NO 11 - 97 LC 1,ENEL CUNDINAMARCA,Bogotá D.C.,CL 140 NO 11 - 97 LC 1,101259036578.0,10.87.223.120,BIA.CLARO.COM.CO
Frt68568,0673248,28607.0,Wok CL 140 NO 11 - 85 IN 1,ENEL CUNDINAMARCA,Bogotá D.C.,CL 140 NO 11 - 85 IN 1,23041233.0,10.205.64.217,BIAENERGY.WOM.CO
Frt68492,0673249,28608.0,Wok CL 140 NO 11 - 85 IN 2,ENEL CUNDINAMARCA,Bogotá D.C.,CL 140 NO 11 - 85 IN 2,37265482556.0,10.205.64.220,BIAENERGY.WOM.CO
Frt72417,12082197,28005.0,IKSO S.A.S CR 48 32BSUR-139 CENTRO COMERCIAL VIVA ENVIGADO,EPM ANTIOQUIA,ENVIGADO,CR 48 32BSUR-139 CENTRO COMERCIAL VIVA ENVIGADO,23043172.0,10.87.210.15,BIA.CLARO.COM.CO
Frt68441,19402884,28389.0,Hotel casa la mantilla CL LA MANTILLA 3-44 P 1,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CL LA MANTILLA 3-44 P 1,23121187.0,10.196.58.185,BIA.TIGO.COM
Frt68440,19402887,28387.0,Hotel casa la mantilla CL LA MANTILLA 3-44 P 3,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CL LA MANTILLA 3-44 P 3,23121197.0,10.196.0.110,BIA.TIGO.COM
Frt68443,19276276,28388.0,Hotel casa la mantilla CL LA MANTILLA 3.-44,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CL LA MANTILLA 3.-44,23041138.0,10.196.7.19,BIA.TIGO.COM
Frt68532,0519441,28567.0,Wok KR 9 NO 69 A - 75,ENEL CUNDINAMARCA,Bogotá D.C.,KR 9 NO 69 A - 75,101259036487.0,172.24.13.72,XMAASRTIOT
